#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-29T20:44:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5de1812c99bd 
#INFO -out.max=unlimited 
#INFO queryParameters=14 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5de1812c99bd&-out.max=unlimited&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=V/50/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=HR&-out=GLON&-out=GLAT&-out=Vmag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=V/50/catalog
#-source=V/50/catalog
#-out=HR
#-out=GLON
#-out=GLAT
#-out=Vmag
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#---Details of Columns:
    HR         (I4)    [1/9110]+ Harvard Revised Number = Bright Star Number [ucd=meta.id;meta.main]
    GLON (deg) (F6.2)  ?Galactic longitude (1) [ucd=pos.galactic.lon]
    GLAT (deg) (F6.2)  ?Galactic latitude (1) [ucd=pos.galactic.lat]
    Vmag (mag) (F5.2)  ?Visual magnitude (1) [ucd=phot.mag;em.opt.V]
---- ------ ------ -----
 547 180.42 -72.52  5.80
 548 128.77   6.55  4.99
 549 151.64 -56.18  4.62
 550 299.96 -36.63  6.06
 551 135.72 -20.59  6.24
 552 136.75 -24.03  6.26
 553 142.24 -39.68  2.64
 554 258.35 -72.71  6.10
 555 274.35 -67.22  4.41
 556 136.91 -23.84  5.89
 557 136.96 -23.85  5.67
 558 267.17 -69.99  5.11
 559 141.48 -36.96  5.74
 560 153.67 -57.13  6.01
 561 130.80  -0.14  6.02
 562 136.03 -19.48  6.78
 563 144.34 -42.30  5.10
 564 140.40 -32.81  5.82
 565 199.22 -74.52  4.85
 566 280.88 -62.67  3.70
 567 130.16   2.71  5.26
 568 134.06 -12.21  5.69
 569 142.04 -36.80  4.79
 570 293.93 -48.35  4.69
 571 289.48 -54.55  6.06
 572 126.76  15.58  6.04
 573 280.76 -62.45  6.10
 574 274.84 -66.00  4.83
 575 128.69   8.83  4.54
 576 239.29 -74.36  6.35
 577 143.55 -39.07  5.87
 578 147.82 -47.26  6.09
 579 127.95  11.68  6.23
 580 128.38  10.31  3.98
 581 127.06  15.00  5.38
 582 154.33 -55.53  5.88
 583 194.60 -73.19  5.41
 584 292.20 -50.30  6.37
 585 195.47 -73.25  4.00
 586 130.42   3.07  6.00
 587 167.40 -65.25  5.51
 588 264.25 -69.60  5.57
 589 130.57   2.59  5.58
 590 133.19  -6.97  5.04
 591 289.45 -53.76  2.86
 592 127.44  13.90  5.22
 593 298.84 -38.26  6.16
 594 227.66 -74.42  5.35
 595 155.35 -55.60  5.23
 596 155.35 -55.60  4.33
 597 125.99  18.89  6.05
 598 130.54   3.32  6.52
 599 139.71 -27.25  5.50
 600 292.34 -49.64  6.10
 601 148.19 -45.88  5.94
 602 268.87 -67.48  5.14
 603 136.96 -18.56  2.26
 654 134.38  -3.91  6.48
 604 136.97 -18.56  4.84
 605 142.61 -34.16  5.63
 606 226.33 -74.19  6.42
 607 158.18 -57.75  5.43
 608 181.14 -69.60  5.86
 609 146.03 -41.35  6.21
 610 158.88 -58.07  5.93
 611 162.91 -61.23  5.62
 612 224.89 -73.78  4.69
 613 144.78 -37.02  5.03
 614 152.67 -50.26  6.31
 615 143.52 -34.14  6.15
 616 159.58 -57.40  6.28
 617 144.57 -36.20  2.00
 618 132.92  -2.94  5.67
 619 137.14 -16.27  6.42
 620 139.31 -22.55  4.82
 621 134.48  -7.25  6.31
 622 140.55 -25.20  3.00
 623 144.08 -33.71  4.98
 624 148.23 -41.79  6.43
 625 189.29 -69.87  6.10
 626 128.58  12.06  6.29
 627 133.51  -3.57  6.36
 628 139.38 -21.28  5.63
 629 139.38 -21.28  6.10
 630 208.31 -72.20  6.48
 631 147.40 -39.58  5.70
 632 264.22 -67.31  5.85
 633 144.53 -33.57  6.02
 634 142.27 -28.32  6.23
 635 154.20 -49.39  5.63
 636 264.54 -66.99  6.32
 637 275.99 -61.97  6.12
 638 174.54 -64.57  6.01
 639 163.52 -58.23  5.93
 640 131.08   4.98  6.07
 641 133.50  -2.61  6.44
 642 142.98 -29.40  4.94
 643 138.04 -16.23  4.83
 644 145.69 -35.09  5.96
 645 135.85  -9.73  5.31
 646 147.14 -37.81  5.27
 647 137.10 -13.10  6.06
 648 150.40 -43.20  5.71
 649 154.55 -48.95  4.37
 650 164.60 -58.52  5.54
 651 199.11 -70.43  5.86
 652 229.19 -71.84  5.28
 653 137.30 -12.69  6.33
 655 142.55 -26.27  5.28
 656 145.74 -33.33  5.79
 657 146.07 -34.01  5.58
 658 175.21 -63.45  6.55
 659 257.70 -67.91  5.91
 660 142.43 -25.39  4.87
 661 134.25  -3.06  5.75
 662 134.39  -3.42  5.98
 663 138.78 -15.90  6.70
 664 142.65 -25.71  4.01
 665 147.05 -35.06  6.55
 666 171.27 -60.99  5.51
 667 291.57 -47.42  5.55
 668 132.36   3.10  6.60
 669 149.27 -38.50  5.62
 670 137.99 -12.91  5.30
 671 138.29 -13.77  6.21
 672 162.20 -54.38  5.58
 673 137.46 -11.42  6.37
 674 275.35 -60.82  3.56
 675 145.22 -30.41  5.03
 676 147.80 -35.44  6.46
 677 140.79 -19.96  6.63
 678 291.35 -47.45  5.69
 679 138.24 -12.89  6.11
 680 144.79 -28.89  6.47
 681 167.75 -57.98  3.04
 682 137.29 -10.21  5.59
 683 214.47 -70.41  6.34
 684 169.55 -58.98  6.50
 685 135.51  -4.79  5.17
 686 257.92 -66.77  6.37
 687 140.80 -18.28  5.82
 688 280.10 -57.09  5.81
 689 164.95 -54.92  5.28
 690 135.87  -5.17  6.28
 691 166.40 -55.90  5.42
 692 179.78 -63.15  5.46
 693 193.30 -67.06  5.87
 694 137.86 -10.15  5.19
 695 208.85 -69.21  5.20
 696 135.62  -3.93  6.25
 697 195.13 -67.20  6.22
 698 260.03 -65.60  6.31
 699 137.95  -9.83  4.71
 700 247.15 -68.09  6.53
 701 273.28 -60.44  5.92
 702 157.03 -45.99  5.47
 703 214.69 -69.20  6.44
 704 169.53 -56.93  6.33
 705 291.25 -46.37  4.09
 706 254.50 -66.45  6.18
 707 132.12   6.29  4.52
 708 183.75 -63.35  4.89
 709 138.18  -9.42  6.12
 710 189.53 -65.08  5.83
 711 147.91 -31.18  6.18
 712 145.72 -26.79  5.54
 713 200.01 -67.12  5.88
 714 283.79 -53.20  5.35
 715 294.47 -41.95  5.01
 716 136.55  -4.72  6.51
 717 146.86 -28.67  5.29
 718 159.69 -47.39  4.28
 719 165.42 -52.76  6.45
 720 146.89 -28.37  5.89
 721 267.12 -62.24  4.25
 722 289.17 -48.04  6.41
 723 150.24 -34.16  6.19
 724 236.68 -68.20  5.14
 725 159.26 -46.27  6.07
 726 145.40 -24.69  6.25
 727 229.36 -68.46  6.11
 728 149.62 -32.45  5.92
 729 152.63 -37.23  6.15
 730 207.10 -67.27  6.77
 731 154.01 -39.09  6.23
 732 168.08 -53.68  6.00
 733 213.52 -67.78  6.51
 734 287.00 -49.73  6.37
 735 206.86 -67.09  6.10
 736 144.74 -22.43  5.15
 737 166.25 -51.98  5.25
 738 145.62 -23.82  5.83
 739 169.94 -54.44  5.35
 740 191.12 -63.78  4.75
 741 156.28 -41.18  6.04
 742 242.77 -66.74  6.30
 743 130.71  11.58  5.16
 744 238.27 -67.00  5.90
 745 201.48 -65.57  6.21
 746 143.84 -18.95  6.36
 747 133.55   5.09  5.78
 748 144.92 -21.07  5.71
 749 221.70 -67.34  4.90
 750 146.14 -23.44  5.35
 751 162.60 -47.26  6.18
 752 179.49 -58.87  5.75
 753 163.39 -47.62  5.82
 754 164.48 -48.67  4.86
 755 270.92 -59.19  6.24
 756 144.53 -19.67  5.90
 757 147.80 -26.13  6.10
 758 146.59 -23.71  5.30
 759 179.86 -58.61  5.53
 760 144.09 -18.59  6.54
 761 147.26 -24.94  6.25
 762 284.65 -50.76  6.77
 763 159.13 -42.91  5.68
 764 151.47 -32.31  7.09
 765 151.49 -32.31  6.50
 766 162.83 -46.83  5.81
 767 226.39 -66.88  5.75
 768 145.24 -20.47  6.18
 769 145.10 -20.13  6.30
